model,1769120747.765,0.55,0.2411,0.57,0.2405
model,1769120747.975,0.53,0.242,0.58,0.2346
model,1769120748.189,0.6,0.2365,0.61,0.2287
model,1769120748.409,0.6,0.2388,0.54,0.2436
model,1769120748.614,0.71,0.2197,0.6,0.2328
model,1769120748.821,0.55,0.2425,0.54,0.2563
model,1769120749.016,0.57,0.2334,0.54,0.2351
model,1769120749.232,0.52,0.245,0.58,0.2372
model,1769120749.474,0.65,0.2241,0.62,0.2418
model,1769120749.724,0.56,0.2428,0.73,0.2024
model,1769120750.027,0.69,0.2256,0.53,0.2445
model,1769120750.279,0.65,0.2201,0.64,0.2201
model,1769120750.541,0.62,0.2236,0.61,0.2373
model,1769120750.805,0.69,0.203,0.7,0.2063
model,1769120751.096,0.5,0.2609,0.51,0.2686
model,1769120751.349,0.65,0.211,0.67,0.2134
model,1769120751.618,0.64,0.2187,0.5,0.2614
model,1769120751.886,0.56,0.25,0.61,0.237
model,1769120752.13,0.65,0.2114,0.6,0.2467
model,1769120752.396,0.61,0.2364,0.65,0.2335
model,1769120752.667,0.53,0.2636,0.61,0.2298
model,1769120752.919,0.46,0.2729,0.58,0.2409
model,1769120753.165,0.57,0.2372,0.6,0.2308
model,1769120753.365,0.55,0.2491,0.59,0.2392
model,1769120753.598,0.55,0.2355,0.57,0.2456
model,1769120753.821,0.61,0.2296,0.68,0.2276
model,1769120754.064,0.62,0.2346,0.54,0.2383
model,1769120754.27,0.58,0.2428,0.63,0.2278
model,1769120754.514,0.66,0.2219,0.56,0.2378
model,1769120754.716,0.62,0.2218,0.6,0.2346
model,1769120754.938,0.65,0.2384,0.57,0.2535
model,1769120755.156,0.59,0.2327,0.49,0.2389
model,1769120755.353,0.62,0.2279,0.58,0.2348
model,1769120755.581,0.63,0.2321,0.6,0.2247
model,1769120755.796,0.57,0.2377,0.6,0.2321
model,1769120756.013,0.48,0.2495,0.52,0.2487
model,1769120756.215,0.56,0.2455,0.6,0.2287
model,1769120756.452,0.51,0.258,0.64,0.23
model,1769120756.681,0.61,0.2289,0.5,0.2531
model,1769120756.898,0.6,0.2361,0.59,0.2335
model,1769120757.145,0.53,0.2474,0.6,0.244
model,1769120757.355,0.57,0.2355,0.65,0.2282
model,1769120757.556,0.53,0.2375,0.56,0.239
model,1769120757.749,0.65,0.2302,0.54,0.2377
model,1769120757.962,0.62,0.2302,0.66,0.2142
model,1769120758.186,0.65,0.2253,0.67,0.2177
model,1769120758.426,0.67,0.2255,0.62,0.2223
model,1769120758.641,0.57,0.2178,0.63,0.2247
model,1769120758.833,0.63,0.2353,0.7,0.2145
model,1769120759.034,0.55,0.2292,0.71,0.2148
model,1769120759.264,0.7,0.1977,0.59,0.2261
model,1769120759.471,0.64,0.2212,0.63,0.2238
model,1769120759.711,0.7,0.2157,0.63,0.2194
model,1769120759.96,0.68,0.21,0.62,0.2241
model,1769120760.216,0.61,0.2153,0.59,0.2507
model,1769120760.48,0.64,0.2254,0.6,0.2448
model,1769120760.744,0.56,0.24,0.69,0.2105
model,1769120761.014,0.64,0.2182,0.65,0.2336
model,1769120761.329,0.6,0.258,0.56,0.2378
model,1769120761.571,0.51,0.2821,0.58,0.2302
model,1769120761.834,0.58,0.2249,0.54,0.2466
model,1769120762.047,0.58,0.2524,0.63,0.2242
model,1769120762.291,0.62,0.2308,0.66,0.2161
model,1769120762.545,0.64,0.2076,0.49,0.2656
model,1769120762.827,0.65,0.2249,0.51,0.2664
model,1769120763.064,0.57,0.2434,0.6,0.2486
model,1769120763.326,0.61,0.2373,0.66,0.2251
model,1769120763.743,0.66,0.2367,0.65,0.2243
model,1769120764.009,0.69,0.2292,0.62,0.2219
model,1769120764.279,0.63,0.2453,0.6,0.2456
model,1769120764.551,0.64,0.2365,0.55,0.2519
model,1769120764.789,0.63,0.2226,0.55,0.2396
model,1769120765.169,0.57,0.2527,0.54,0.2464
model,1769120765.419,0.54,0.2419,0.54,0.252
model,1769120765.714,0.55,0.241,0.61,0.2301
model,1769120766.002,0.58,0.2432,0.61,0.2345
model,1769120766.266,0.64,0.223,0.61,0.2348
model,1769120766.542,0.67,0.2241,0.66,0.2226
model,1769120766.811,0.65,0.2287,0.56,0.2451
model,1769120767.12,0.63,0.2339,0.63,0.2206
model,1769120767.4,0.58,0.2371,0.61,0.2346
model,1769120767.69,0.51,0.2443,0.66,0.2175
model,1769120767.987,0.57,0.2432,0.63,0.2269
model,1769120768.248,0.61,0.232,0.61,0.2264
