Price,Close,High,Low,Open,Volume
Ticker,AIG,AIG,AIG,AIG,AIG
Date,,,,,
2000-05-08,908.337646484375,911.7764104933711,870.0194558111593,877.8795495132189,276023
2000-05-09,896.0562744140625,908.3377714607178,894.0912147373059,908.3377714607178,188138
2000-05-10,898.5123901367188,902.4425088126862,888.1959545453554,893.1085669094431,192345
2000-05-11,907.354736328125,916.1973923571866,892.6169762796893,907.3547363281251,163343
2000-05-12,903.1795043945312,903.4251098553108,885.2485067138205,900.9688393622589,153210
2000-05-15,946.6558227539062,947.1470336267195,886.7221954075711,901.4599608268757,273645
2000-05-16,964.3409423828125,974.1660933155443,937.8129700988794,944.6905685556186,307635
2000-05-17,928.4790649414062,959.9196498578834,918.1626308865018,959.9196498578834,262455
2000-05-18,932.4091186523438,947.146881707764,923.5664608190916,928.4790724914762,180570
2000-05-19,914.723876953125,934.3742532699176,908.8287712542613,927.4966539418231,174143
2000-05-22,940.26953125,940.7608141355006,902.442620072021,916.6891041340125,218588
2000-05-23,892.6172485351562,944.6907072430278,892.1260376915311,941.7431543343132,301710
2000-05-24,903.9163818359375,911.2852651879649,889.6698260475171,897.0387093995444,293798
2000-05-25,900.9683227539062,926.513722727015,894.5819367797735,909.8109778126849,294465
2000-05-26,892.6172485351562,903.9162493263894,881.80960251103,896.056084249237,124958
2000-05-30,894.5822143554688,906.8637075128872,886.230839306995,892.6171553009965,174503
2000-05-31,885.1463623046875,895.4673357108201,880.7230879877736,888.5866387778003,160808
2000-06-01,922.0065307617188,928.3956536552332,886.6203535298408,888.0947775811691,216053
2000-06-02,932.8189697265625,941.6655144510294,923.9724250020954,932.8189697265624,157823
2000-06-05,910.2109985351562,934.2932063453835,909.2280013230261,931.8358573017596,128280
2000-06-06,917.091796875,917.5832955763653,893.5010111032958,917.091796875,126930
2000-06-07,939.6994018554688,943.13967584997,917.0915476372614,917.0915476372614,192263
2000-06-08,940.6826782226562,943.6315267437304,929.3787828896627,941.6656037318903,168068
2000-06-09,924.4637451171875,951.4948727733686,922.9893212812749,943.1397563742963,98220
2000-06-12,939.9454345703125,943.1399963632191,924.4639803538603,924.4639803538603,92573
2000-06-13,961.816162109375,963.7820132208155,938.2253728250848,943.1400725970616,153750
2000-06-14,955.4270629882812,958.867410772556,948.0549405886803,953.9526385083611,113918
2000-06-15,969.1885375976562,975.5776633732557,943.6318185150748,951.4954410004985,207263
2000-06-16,927.9043579101562,961.3246171253109,916.108963834999,959.358694114994,364208
2000-06-19,924.9554443359375,932.3275651144031,919.0577477131651,929.8701435260033,179805
2000-06-20,904.8046875,924.9551934919849,900.8729148155543,924.9551934919849,142170
2000-06-21,910.7024536132812,914.1427999765689,893.5008657835496,904.3133315014869,119018
2000-06-22,906.7708740234375,915.1259204096037,885.1460099686354,910.7026478533919,174030
2000-06-23,925.4465942382812,927.4125165222788,905.2961608023517,905.2961608023517,118178
2000-06-26,924.9554443359375,935.7678401487758,913.1600510903926,924.4639456195843,123585
2000-06-27,938.7169189453125,947.5634660515825,924.9556714422598,924.9556714422598,144173
2000-06-28,948.423095703125,952.9692596854933,938.7164484950108,939.2079470857219,155970
2000-06-29,962.3079223632812,970.6630444590544,937.734199007632,945.597822158536,219503
2000-06-30,923.9724731445312,961.816075544344,914.1430024918708,961.3245768140318,308805
2000-07-03,931.836181640625,935.2765290938412,921.0237124972139,923.9725611732919,86918
2000-07-05,948.546630859375,954.935756899632,935.7682347920666,939.7000821943449,231045
