Price,Close,High,Low,Open,Volume
Ticker,AVY,AVY,AVY,AVY,AVY
Date,,,,,
2010-09-17,25.938812255859375,26.125369582676097,25.508290926237745,25.730727083400776,885800
2010-09-20,26.46979331970215,26.548722391787305,25.85989133259718,26.0105726135754,967100
2010-09-21,26.233001708984375,26.469786123696952,26.0679694836585,26.469786123696952,591000
2010-09-22,25.845531463623047,26.41955714906321,25.658971405123506,26.175595890604843,715600
2010-09-23,25.49393653869629,25.996209987628013,25.393482396343963,25.53698948706304,676200
2010-09-24,26.161235809326172,26.297568744016058,25.816820517824944,25.895749535346578,943000
2010-09-27,26.089488983154297,26.383677275854925,26.04643603647738,26.161241157112507,663100
2010-09-28,26.354976654052734,26.405203725816285,25.50111369690224,26.10384129523498,716400
2010-09-29,26.677871704101562,26.871605902948925,26.204300130420435,26.27605232088067,785300
2010-09-30,26.634828567504883,27.194506260690318,26.54155123295033,26.828562837780037,829300
2010-10-01,26.720916748046875,26.936175992855333,26.462604559408806,26.778317935983225,481400
2010-10-04,26.319110870361328,26.878785738961703,26.146901744622877,26.685051498945143,878000
2010-10-05,27.0725154876709,27.302125792449214,26.44826264262802,26.598943891919276,773600
2010-10-06,27.079687118530273,27.201666371869543,26.964881988317345,27.115563208502397,562400
2010-10-07,26.97205924987793,27.201669537020944,26.807027027067043,27.172967566835435,421200
2010-10-08,27.29494857788086,27.402576856402575,26.914654329693587,27.00076023711548,414100
2010-10-11,27.474334716796875,27.60349085456859,27.165795358472298,27.323653468453447,419700
2010-10-12,27.395404815673828,27.46715700681055,27.072514481217304,27.452806021149076,611800
2010-10-13,27.567626953125,27.682434904150114,27.330842397066228,27.546101830893896,654200
2010-10-14,27.373872756958008,27.761338322777753,27.15861076385044,27.54607906684013,458200
2010-10-15,27.438459396362305,27.79722584761763,27.151445140489724,27.524562578255757,1870200
2010-10-18,27.467153549194336,27.65371360213831,27.388224506577295,27.431277458142127,736700
2010-10-19,27.25906753540039,27.50302875445696,26.92182630215957,27.029454561138387,1065600
2010-10-20,27.998130798339844,28.170337141300163,27.244721889254887,27.366701154087576,759600
2010-10-21,27.969419479370117,28.23490576603851,27.64652927278988,28.105749683406415,561600
2010-10-22,27.912023544311523,28.06987887940805,27.768516454720988,27.962250615092703,761400
2010-10-25,28.34971809387207,28.536278143962505,28.134458813681007,28.134458813681007,910600
2010-10-26,28.098581314086914,28.59367790741522,28.041180119593978,28.141634262834202,1448200
2010-10-27,27.25906753540039,27.732638991549027,26.620461155245017,26.986404352414834,2343200
2010-10-28,26.390865325927734,27.08687327674831,26.36934020981458,27.08687327674831,1880300
2010-10-29,26.082313537597656,26.49130697310838,26.053614308760338,26.30474966840021,1120600
2010-11-01,25.687667846679688,26.211466343015484,25.515461546685067,26.211466343015484,1663400
2010-11-02,26.053617477416992,26.089493570704512,25.845532304310723,25.910110367096443,2841300
2010-11-03,26.103851318359375,26.340635785138776,25.79531190924442,26.06079835295804,1555900
2010-11-04,27.115564346313477,27.1657914218161,26.311925663930843,26.455432767011335,1224700
2010-11-05,27.25906753540039,27.26624165779767,26.993578474812114,27.10838359335815,884000
2010-11-08,26.857248306274414,27.259067590583953,26.81419536029377,27.122734630230212,782900
2010-11-09,26.555896759033203,27.043819448017835,26.4554425708019,26.921840144357347,1118800
2010-11-10,26.59177017211914,26.706575326255567,26.4267379341212,26.49131326722533,1067300
2010-11-11,26.620466232299805,26.720923125210412,26.25452570250775,26.34062887354639,1168700
2010-11-12,26.146894454956055,26.498486734112507,26.060791284677702,26.46261064126073,615100
2010-11-15,26.362152099609375,26.606113322443658,26.247346979285595,26.247346979285595,931800
2010-11-16,25.85988426208496,26.22582480685959,25.723551270423954,26.082317691139327,1458500
2010-11-17,26.01774024963379,26.07514419216624,25.881409991875177,25.92446294877451,1408900
2010-11-18,26.59893798828125,26.756796064218747,26.29757555658617,26.29757555658617,848100
2010-11-19,27.065340042114258,27.072514166276214,26.52001354200479,26.52001354200479,992900
2010-11-22,27.065340042114258,27.115567122759785,26.677871645273942,26.893130953350582,870700
2010-11-23,26.921833038330078,27.03663818560176,26.62046781601028,26.72092471489729,1015100
2010-11-24,27.56043815612793,27.69676841965213,27.000763378620345,27.000763378620345,813400
2010-11-26,27.388227462768555,27.589138521253123,27.21602111226246,27.330826258323388,348700
2010-11-29,27.251184463500977,27.31610269640626,26.767906425330633,27.23675788378994,835400
2010-11-30,27.078054428100586,27.344939110348175,26.94821804179915,27.005921573718098,1015400
2010-12-01,27.835445404052734,27.929216785749592,27.554134010550577,27.59019907994524,823600
2010-12-02,28.62167739868164,28.67216904857721,27.777740426048418,27.81380824876401,1136800
2010-12-03,28.744298934936523,29.04003691808715,28.491840687706183,28.542332337152253,876200
2010-12-06,28.845277786254883,28.94626105994376,28.708226699173256,28.737079849252318,867900
2010-12-07,29.393478393554688,29.631512790878354,29.032822216946652,29.155443996231018,1374700
2010-12-08,29.400691986083984,29.609873240848593,29.24921704363585,29.465610211645814,841800
2010-12-09,29.645923614501953,29.761333430336816,29.400677411904493,29.581005421120654,575700
2010-12-10,29.8478946685791,29.869533150491296,29.41510576922462,29.775761809559743,617600
2010-12-13,29.8551082611084,30.107569154522213,29.8551082611084,29.93445303470739,662200
2010-12-14,30.07871437072754,30.27346896306455,29.79018843728296,29.898386350221486,863900
2010-12-15,30.100353240966797,30.287895925601195,30.028223132468806,30.028223132468806,775300
2010-12-16,30.432161331176758,30.648557196740008,30.11478494745184,30.11478494745184,831400
2010-12-17,30.511497497558594,30.63412197018378,30.266251303895164,30.410514256330174,1111000
2010-12-20,30.39609146118164,30.619699202807766,30.36723831679363,30.583634148116403,764400
2010-12-21,30.44660186767578,30.65578316613192,30.32398005577397,30.497093525704642,800800
2010-12-22,30.634143829345703,30.77840413313149,30.43938911732819,30.43938911732819,663500
2010-12-23,30.60527992248535,30.857738117061704,30.51150855667644,30.540361707938867,444900
2010-12-27,30.6485652923584,30.706268853919614,30.46102252621041,30.46823719114835,412000
2010-12-28,30.468231201171875,30.7495425435003,30.41052489936711,30.74232787998075,601900
2010-12-29,30.626914978027344,30.864949321885852,30.533146374314278,30.56199677075572,486900
2010-12-30,30.612491607666016,30.78560776236982,30.48986984309127,30.554788057156703,476800
2010-12-31,30.540363311767578,30.771183030812594,30.50429824658956,30.54757522416794,438400
2011-01-03,30.1724910736084,30.75675220285775,30.042654655644604,30.75675220285775,1293200
2011-01-04,30.215770721435547,30.316753999554273,29.920032799121582,30.316753999554273,1562800
2011-01-05,30.01380157470703,30.54035915915603,29.855112007595267,30.02101348612678,919400
2011-01-06,29.660367965698242,30.12922217135544,29.44397477523673,30.085942432627654,1119400
2011-01-07,29.559368133544922,29.99215702408339,29.234777153537863,29.761334631510575,866400
2011-01-10,29.566600799560547,29.631519035093667,29.097746570533698,29.37905800731427,594000
2011-01-11,29.61709213256836,29.826270665598052,29.357419193261087,29.761352430771232,642000
